Single-Core FIFO,,,Dual-Core FIFO,,,Quad-Core FIFO,,,RR 800ms,,,RR 600ms,,,RR 400ms,,,RR 200ms,,,Single-Core SRTF,,,Dual-Core SRTF,,,Quad-Core SRTF,,
Ctx. Switches,Total Exec Time,Time in READY,Ctx. Switches,Total Exec Time,Time in READY,Ctx. Switches,Total Exec Time,Time in READY,Ctx. Switches,Total Exec Time,Time in READY,Ctx. Switches,Total Exec Time,Time in READY,Ctx. Switches,Total Exec Time,Time in READY,Ctx.Switches,Total Exec Time,Time in READY,Ctx. Switches,Total Exec Time,Time in READY,Ctx. Switches,Total Exec Time,Time in READY,Ctx. Switches,Total Exec Time,Time in READY
99,67.6,389.9,113,35.8,83.1,184,33.2,0.3,136,67.6,325.4,161,67.6,314.5,203,67.6,298.8,362,67.5,285.2,139,68.4,160.9,154,36.1,23.4,183,33.5,0.2
